Entry	Gene Names (primary)	Protein names	Reviewed	Subcellular location [CC]
P10145	CXCL8	Interleukin-8	reviewed	Secreted
P19320	VCAM1	Vascular cell adhesion protein 1	reviewed	Cell membrane
