gene_symbol	safety_gate	critical_tissue_flag	note
FAM111B	UNKNOWN	UNKNOWN	not in local safety table
FAM114A1	UNKNOWN	UNKNOWN	not in local safety table
FAM114A2	UNKNOWN	UNKNOWN	not in local safety table
FAM117A	UNKNOWN	UNKNOWN	not in local safety table
FAM117B	UNKNOWN	UNKNOWN	not in local safety table
FAM118A	UNKNOWN	UNKNOWN	not in local safety table
FAM118B	UNKNOWN	UNKNOWN	not in local safety table
FAM120A	UNKNOWN	UNKNOWN	not in local safety table
FAM120AOS	UNKNOWN	UNKNOWN	not in local safety table
FAM120B	UNKNOWN	UNKNOWN	not in local safety table
FAM120C	UNKNOWN	UNKNOWN	not in local safety table
FAM122B	UNKNOWN	UNKNOWN	not in local safety table
FAM122C	UNKNOWN	UNKNOWN	not in local safety table
FAM124A	UNKNOWN	UNKNOWN	not in local safety table
FAM124B	UNKNOWN	UNKNOWN	not in local safety table
FAM126A	UNKNOWN	UNKNOWN	not in local safety table
FAM126B	UNKNOWN	UNKNOWN	not in local safety table
FAM127A	UNKNOWN	UNKNOWN	not in local safety table
FAM127B	UNKNOWN	UNKNOWN	not in local safety table
FAM127C	UNKNOWN	UNKNOWN	not in local safety table
FAM129A	UNKNOWN	UNKNOWN	not in local safety table
FAM129B	UNKNOWN	UNKNOWN	not in local safety table
FAM129C	UNKNOWN	UNKNOWN	not in local safety table
FAM131A	UNKNOWN	UNKNOWN	not in local safety table
FAM131B	UNKNOWN	UNKNOWN	not in local safety table
FAM131B-AS2	UNKNOWN	UNKNOWN	not in local safety table
FAM131C	UNKNOWN	UNKNOWN	not in local safety table
FAM131C2P	UNKNOWN	UNKNOWN	not in local safety table
FAM132A	UNKNOWN	UNKNOWN	not in local safety table
FAM133A	UNKNOWN	UNKNOWN	not in local safety table
FAM133B	UNKNOWN	UNKNOWN	not in local safety table
FAM134B	UNKNOWN	UNKNOWN	not in local safety table
FAM134C	UNKNOWN	UNKNOWN	not in local safety table
FAM135A	UNKNOWN	UNKNOWN	not in local safety table
FAM135B	UNKNOWN	UNKNOWN	not in local safety table
FAM136A	UNKNOWN	UNKNOWN	not in local safety table
FAM138D	UNKNOWN	UNKNOWN	not in local safety table
FAM13A	UNKNOWN	UNKNOWN	not in local safety table
FAM13B	UNKNOWN	UNKNOWN	not in local safety table
FAM13C	UNKNOWN	UNKNOWN	not in local safety table
FAM149A	UNKNOWN	UNKNOWN	not in local safety table
FAM149B1	UNKNOWN	UNKNOWN	not in local safety table
FAM149B1P1	UNKNOWN	UNKNOWN	not in local safety table
FAM150A	UNKNOWN	UNKNOWN	not in local safety table
FAM150B	UNKNOWN	UNKNOWN	not in local safety table
FAM151A	UNKNOWN	UNKNOWN	not in local safety table
FAM151B	UNKNOWN	UNKNOWN	not in local safety table
FAM151B-DT	UNKNOWN	UNKNOWN	not in local safety table
FAM153CP	UNKNOWN	UNKNOWN	not in local safety table
FAM155B	UNKNOWN	UNKNOWN	not in local safety table
FAM156A	UNKNOWN	UNKNOWN	not in local safety table
FAM159A	UNKNOWN	UNKNOWN	not in local safety table
FAM159B	UNKNOWN	UNKNOWN	not in local safety table
FAM160A1	UNKNOWN	UNKNOWN	not in local safety table
FAM160A2	UNKNOWN	UNKNOWN	not in local safety table
FAM160B1	UNKNOWN	UNKNOWN	not in local safety table
FAM160B2	UNKNOWN	UNKNOWN	not in local safety table
FAM161A	UNKNOWN	UNKNOWN	not in local safety table
FAM161B	UNKNOWN	UNKNOWN	not in local safety table
FAM162A	UNKNOWN	UNKNOWN	not in local safety table
FAM162B	UNKNOWN	UNKNOWN	not in local safety table
FAM163A	UNKNOWN	UNKNOWN	not in local safety table
FAM163B	UNKNOWN	UNKNOWN	not in local safety table
FAM166A	UNKNOWN	UNKNOWN	not in local safety table
FAM167A	UNKNOWN	UNKNOWN	not in local safety table
FAM167A-AS1	UNKNOWN	UNKNOWN	not in local safety table
FAM167B	UNKNOWN	UNKNOWN	not in local safety table
FAM168A	UNKNOWN	UNKNOWN	not in local safety table
FAM168B	UNKNOWN	UNKNOWN	not in local safety table
FAM169A	UNKNOWN	UNKNOWN	not in local safety table
FAM169B	UNKNOWN	UNKNOWN	not in local safety table
FAM170A	UNKNOWN	UNKNOWN	not in local safety table
FAM170B	UNKNOWN	UNKNOWN	not in local safety table
FAM171A1	UNKNOWN	UNKNOWN	not in local safety table
FAM171A2	UNKNOWN	UNKNOWN	not in local safety table
FAM171B	UNKNOWN	UNKNOWN	not in local safety table
FAM172A	UNKNOWN	UNKNOWN	not in local safety table
FAM172BP	UNKNOWN	UNKNOWN	not in local safety table
FAM173A	UNKNOWN	UNKNOWN	not in local safety table
FAM173B	UNKNOWN	UNKNOWN	not in local safety table
FAM174A	UNKNOWN	UNKNOWN	not in local safety table
FAM174B	UNKNOWN	UNKNOWN	not in local safety table
FAM175A	UNKNOWN	UNKNOWN	not in local safety table
FAM175B	UNKNOWN	UNKNOWN	not in local safety table
FAM177A1	UNKNOWN	UNKNOWN	not in local safety table
FAM177B	UNKNOWN	UNKNOWN	not in local safety table
FAM178B	UNKNOWN	UNKNOWN	not in local safety table
FAM179A	UNKNOWN	UNKNOWN	not in local safety table
FAM179B	UNKNOWN	UNKNOWN	not in local safety table
FAM180A	UNKNOWN	UNKNOWN	not in local safety table
FAM180B	UNKNOWN	UNKNOWN	not in local safety table
FAM181A	UNKNOWN	UNKNOWN	not in local safety table
FAM181B	UNKNOWN	UNKNOWN	not in local safety table
FAM182A	UNKNOWN	UNKNOWN	not in local safety table
FAM183A	UNKNOWN	UNKNOWN	not in local safety table
FAM183BP	UNKNOWN	UNKNOWN	not in local safety table
FAM184A	UNKNOWN	UNKNOWN	not in local safety table
FAM184B	UNKNOWN	UNKNOWN	not in local safety table
FAM185A	UNKNOWN	UNKNOWN	not in local safety table
FAM186A	UNKNOWN	UNKNOWN	not in local safety table
FAM186B	UNKNOWN	UNKNOWN	not in local safety table
FAM187B	UNKNOWN	UNKNOWN	not in local safety table
FAM188A	UNKNOWN	UNKNOWN	not in local safety table
FAM189A1	UNKNOWN	UNKNOWN	not in local safety table
FAM189A2	UNKNOWN	UNKNOWN	not in local safety table
FAM189B	UNKNOWN	UNKNOWN	not in local safety table
FAM192A	UNKNOWN	UNKNOWN	not in local safety table
FAM193A	UNKNOWN	UNKNOWN	not in local safety table
FAM193B	UNKNOWN	UNKNOWN	not in local safety table
FAM193B-DT	UNKNOWN	UNKNOWN	not in local safety table
FAM194C	UNKNOWN	UNKNOWN	not in local safety table
FAM196A	UNKNOWN	UNKNOWN	not in local safety table
FAM198A	UNKNOWN	UNKNOWN	not in local safety table
FAM198B	UNKNOWN	UNKNOWN	not in local safety table
FAM199X	UNKNOWN	UNKNOWN	not in local safety table
FAM19A1	UNKNOWN	UNKNOWN	not in local safety table
FAM19A2	UNKNOWN	UNKNOWN	not in local safety table
FAM19A3	UNKNOWN	UNKNOWN	not in local safety table
FAM19A4	UNKNOWN	UNKNOWN	not in local safety table
FAM19A5	UNKNOWN	UNKNOWN	not in local safety table
FAM200A	UNKNOWN	UNKNOWN	not in local safety table
FAM200B	UNKNOWN	UNKNOWN	not in local safety table
FAM201B	UNKNOWN	UNKNOWN	not in local safety table
FAM204A	UNKNOWN	UNKNOWN	not in local safety table
FAM205BP	UNKNOWN	UNKNOWN	not in local safety table
FAM206A	UNKNOWN	UNKNOWN	not in local safety table
FAM207A	UNKNOWN	UNKNOWN	not in local safety table
FAM208A	UNKNOWN	UNKNOWN	not in local safety table
FAM208B	UNKNOWN	UNKNOWN	not in local safety table
FAM209A	UNKNOWN	UNKNOWN	not in local safety table
FAM209B	UNKNOWN	UNKNOWN	not in local safety table
FAM20A	UNKNOWN	UNKNOWN	not in local safety table
FAM20B	UNKNOWN	UNKNOWN	not in local safety table
FAM20C	UNKNOWN	UNKNOWN	not in local safety table
FAM210A	UNKNOWN	UNKNOWN	not in local safety table
FAM210B	UNKNOWN	UNKNOWN	not in local safety table
FAM212A	UNKNOWN	UNKNOWN	not in local safety table
FAM212B	UNKNOWN	UNKNOWN	not in local safety table
FAM213A	UNKNOWN	UNKNOWN	not in local safety table
FAM213B	UNKNOWN	UNKNOWN	not in local safety table
FAM214A	UNKNOWN	UNKNOWN	not in local safety table
FAM214B	UNKNOWN	UNKNOWN	not in local safety table
FAM215A	UNKNOWN	UNKNOWN	not in local safety table
FAM216A	UNKNOWN	UNKNOWN	not in local safety table
FAM216B	UNKNOWN	UNKNOWN	not in local safety table
FAM217A	UNKNOWN	UNKNOWN	not in local safety table
FAM217B	UNKNOWN	UNKNOWN	not in local safety table
FAM218A	UNKNOWN	UNKNOWN	not in local safety table
FAM219A	UNKNOWN	UNKNOWN	not in local safety table
FAM219B	UNKNOWN	UNKNOWN	not in local safety table
FAM220A	UNKNOWN	UNKNOWN	not in local safety table
FAM221A	UNKNOWN	UNKNOWN	not in local safety table
FAM221B	UNKNOWN	UNKNOWN	not in local safety table
FAM222A	UNKNOWN	UNKNOWN	not in local safety table
FAM222A-AS1	UNKNOWN	UNKNOWN	not in local safety table
FAM222B	UNKNOWN	UNKNOWN	not in local safety table
FAM227A	UNKNOWN	UNKNOWN	not in local safety table
FAM227B	UNKNOWN	UNKNOWN	not in local safety table
FAM228A	UNKNOWN	UNKNOWN	not in local safety table
FAM228B	UNKNOWN	UNKNOWN	not in local safety table
FAM229A	UNKNOWN	UNKNOWN	not in local safety table
FAM229B	UNKNOWN	UNKNOWN	not in local safety table
FAM230B	UNKNOWN	UNKNOWN	not in local safety table
FAM234A	UNKNOWN	UNKNOWN	not in local safety table
FAM234B	UNKNOWN	UNKNOWN	not in local safety table
FAM238C	UNKNOWN	UNKNOWN	not in local safety table
FAM239C	UNKNOWN	UNKNOWN	not in local safety table
FAM241A	UNKNOWN	UNKNOWN	not in local safety table
FAM241B	UNKNOWN	UNKNOWN	not in local safety table
FAM24A	UNKNOWN	UNKNOWN	not in local safety table
FAM24B	UNKNOWN	UNKNOWN	not in local safety table
FAM25EP	UNKNOWN	UNKNOWN	not in local safety table
FAM26D	UNKNOWN	UNKNOWN	not in local safety table
FAM26E	UNKNOWN	UNKNOWN	not in local safety table
FAM26F	UNKNOWN	UNKNOWN	not in local safety table
FAM27B	UNKNOWN	UNKNOWN	not in local safety table
FAM27C	UNKNOWN	UNKNOWN	not in local safety table
FAM27E5	UNKNOWN	UNKNOWN	not in local safety table
FAM30A	UNKNOWN	UNKNOWN	not in local safety table
FAM32A	UNKNOWN	UNKNOWN	not in local safety table
FAM35A	UNKNOWN	UNKNOWN	not in local safety table
FAM3A	UNKNOWN	UNKNOWN	not in local safety table
FAM3B	UNKNOWN	UNKNOWN	not in local safety table
FAM3C	UNKNOWN	UNKNOWN	not in local safety table
FAM3D	UNKNOWN	UNKNOWN	not in local safety table
FAM43A	UNKNOWN	UNKNOWN	not in local safety table
FAM43B	UNKNOWN	UNKNOWN	not in local safety table
FAM45BP	UNKNOWN	UNKNOWN	not in local safety table
FAM46A	UNKNOWN	UNKNOWN	not in local safety table
FAM46B	UNKNOWN	UNKNOWN	not in local safety table
FAM46C	UNKNOWN	UNKNOWN	not in local safety table
FAM46D	UNKNOWN	UNKNOWN	not in local safety table
FAM47A	UNKNOWN	UNKNOWN	not in local safety table
FAM47B	UNKNOWN	UNKNOWN	not in local safety table
FAM47C	UNKNOWN	UNKNOWN	not in local safety table
FAM49A	UNKNOWN	UNKNOWN	not in local safety table
FAM49B	UNKNOWN	UNKNOWN	not in local safety table
FAM50A	UNKNOWN	UNKNOWN	not in local safety table
FAM50B	UNKNOWN	UNKNOWN	not in local safety table
FAM53A	UNKNOWN	UNKNOWN	not in local safety table
FAM53B	UNKNOWN	UNKNOWN	not in local safety table
FAM53C	UNKNOWN	UNKNOWN	not in local safety table
FAM57A	UNKNOWN	UNKNOWN	not in local safety table
FAM57B	UNKNOWN	UNKNOWN	not in local safety table
FAM58A	UNKNOWN	UNKNOWN	not in local safety table
FAM60A	UNKNOWN	UNKNOWN	not in local safety table
FAM63A	UNKNOWN	UNKNOWN	not in local safety table
FAM63B	UNKNOWN	UNKNOWN	not in local safety table
FAM64A	UNKNOWN	UNKNOWN	not in local safety table
FAM65A	UNKNOWN	UNKNOWN	not in local safety table
FAM65B	UNKNOWN	UNKNOWN	not in local safety table
FAM65C	UNKNOWN	UNKNOWN	not in local safety table
FAM66B	UNKNOWN	UNKNOWN	not in local safety table
FAM66C	UNKNOWN	UNKNOWN	not in local safety table
FAM69A	UNKNOWN	UNKNOWN	not in local safety table
FAM69B	UNKNOWN	UNKNOWN	not in local safety table
FAM69C	UNKNOWN	UNKNOWN	not in local safety table
FAM71A	UNKNOWN	UNKNOWN	not in local safety table
FAM71B	UNKNOWN	UNKNOWN	not in local safety table
FAM71C	UNKNOWN	UNKNOWN	not in local safety table
FAM71D	UNKNOWN	UNKNOWN	not in local safety table
FAM71E1	UNKNOWN	UNKNOWN	not in local safety table
FAM71E2	UNKNOWN	UNKNOWN	not in local safety table
FAM71F1	UNKNOWN	UNKNOWN	not in local safety table
FAM71F2	UNKNOWN	UNKNOWN	not in local safety table
FAM72A	UNKNOWN	UNKNOWN	not in local safety table
FAM72B	UNKNOWN	UNKNOWN	not in local safety table
FAM72C	UNKNOWN	UNKNOWN	not in local safety table
FAM72D	UNKNOWN	UNKNOWN	not in local safety table
FAM76A	UNKNOWN	UNKNOWN	not in local safety table
FAM76B	UNKNOWN	UNKNOWN	not in local safety table
FAM78A	UNKNOWN	UNKNOWN	not in local safety table
FAM78B	UNKNOWN	UNKNOWN	not in local safety table
FAM81A	UNKNOWN	UNKNOWN	not in local safety table
FAM81B	UNKNOWN	UNKNOWN	not in local safety table
FAM83A	UNKNOWN	UNKNOWN	not in local safety table
FAM83A-AS1	UNKNOWN	UNKNOWN	not in local safety table
FAM83B	UNKNOWN	UNKNOWN	not in local safety table
FAM83C	UNKNOWN	UNKNOWN	not in local safety table
FAM83D	UNKNOWN	UNKNOWN	not in local safety table
FAM83E	UNKNOWN	UNKNOWN	not in local safety table
FAM83F	UNKNOWN	UNKNOWN	not in local safety table
FAM83G	UNKNOWN	UNKNOWN	not in local safety table
FAM83H	UNKNOWN	UNKNOWN	not in local safety table
FAM84A	UNKNOWN	UNKNOWN	not in local safety table
FAM84B	UNKNOWN	UNKNOWN	not in local safety table
FAM86B1	UNKNOWN	UNKNOWN	not in local safety table
FAM86B2	UNKNOWN	UNKNOWN	not in local safety table
FAM86B2-DT	UNKNOWN	UNKNOWN	not in local safety table
FAM86B3P	UNKNOWN	UNKNOWN	not in local safety table
FAM86C1	UNKNOWN	UNKNOWN	not in local safety table
FAM86C1P	UNKNOWN	UNKNOWN	not in local safety table
FAM86C2P	UNKNOWN	UNKNOWN	not in local safety table
FAM86DP	UNKNOWN	UNKNOWN	not in local safety table
FAM86EP	UNKNOWN	UNKNOWN	not in local safety table
FAM86FP	UNKNOWN	UNKNOWN	not in local safety table
FAM86GP	UNKNOWN	UNKNOWN	not in local safety table
FAM86HP	UNKNOWN	UNKNOWN	not in local safety table
FAM86JP	UNKNOWN	UNKNOWN	not in local safety table
FAM86KP	UNKNOWN	UNKNOWN	not in local safety table
FAM87A	UNKNOWN	UNKNOWN	not in local safety table
FAM88B	UNKNOWN	UNKNOWN	not in local safety table
FAM88C	UNKNOWN	UNKNOWN	not in local safety table
FAM88E	UNKNOWN	UNKNOWN	not in local safety table
FAM89A	UNKNOWN	UNKNOWN	not in local safety table
FAM89B	UNKNOWN	UNKNOWN	not in local safety table
FAM8A1	UNKNOWN	UNKNOWN	not in local safety table
FAM90A1	UNKNOWN	UNKNOWN	not in local safety table
FAM90A27P	UNKNOWN	UNKNOWN	not in local safety table
FAM91A1	UNKNOWN	UNKNOWN	not in local safety table
FAM92A1	UNKNOWN	UNKNOWN	not in local safety table
FAM92A1P2	UNKNOWN	UNKNOWN	not in local safety table
FAM92B	UNKNOWN	UNKNOWN	not in local safety table
FAM95C	UNKNOWN	UNKNOWN	not in local safety table
FAM96A	UNKNOWN	UNKNOWN	not in local safety table
FAM96B	UNKNOWN	UNKNOWN	not in local safety table
FAM98A	UNKNOWN	UNKNOWN	not in local safety table
FAM98B	UNKNOWN	UNKNOWN	not in local safety table
FAM98C	UNKNOWN	UNKNOWN	not in local safety table
FAM99A	UNKNOWN	UNKNOWN	not in local safety table
FAM9A	UNKNOWN	UNKNOWN	not in local safety table
FAM9B	UNKNOWN	UNKNOWN	not in local safety table
FAM9C	UNKNOWN	UNKNOWN	not in local safety table
FAN1	UNKNOWN	UNKNOWN	not in local safety table
FANCA	UNKNOWN	UNKNOWN	not in local safety table
FANCB	UNKNOWN	UNKNOWN	not in local safety table
FANCC	UNKNOWN	UNKNOWN	not in local safety table
FANCD2	UNKNOWN	UNKNOWN	not in local safety table
FANCD2OS	UNKNOWN	UNKNOWN	not in local safety table
FANCE	UNKNOWN	UNKNOWN	not in local safety table
FANCF	UNKNOWN	UNKNOWN	not in local safety table
FANCG	UNKNOWN	UNKNOWN	not in local safety table
FANCI	UNKNOWN	UNKNOWN	not in local safety table
FANCL	UNKNOWN	UNKNOWN	not in local safety table
FANCM	UNKNOWN	UNKNOWN	not in local safety table
FANK1	UNKNOWN	UNKNOWN	not in local safety table
FAP	UNKNOWN	UNKNOWN	not in local safety table
FAR1	UNKNOWN	UNKNOWN	not in local safety table
FAR2	UNKNOWN	UNKNOWN	not in local safety table
FAR2-AS1	UNKNOWN	UNKNOWN	not in local safety table
FAR2P1	UNKNOWN	UNKNOWN	not in local safety table
FARP1	UNKNOWN	UNKNOWN	not in local safety table
FARP2	UNKNOWN	UNKNOWN	not in local safety table
FARS2	UNKNOWN	UNKNOWN	not in local safety table
FARSA	UNKNOWN	UNKNOWN	not in local safety table
FARSB	UNKNOWN	UNKNOWN	not in local safety table
FAS	UNKNOWN	UNKNOWN	not in local safety table
FASLG	UNKNOWN	UNKNOWN	not in local safety table
FASN	UNKNOWN	UNKNOWN	not in local safety table
FASTK	UNKNOWN	UNKNOWN	not in local safety table
FASTKD1	UNKNOWN	UNKNOWN	not in local safety table
FASTKD2	UNKNOWN	UNKNOWN	not in local safety table
FASTKD3	UNKNOWN	UNKNOWN	not in local safety table
FASTKD5	UNKNOWN	UNKNOWN	not in local safety table
FAT1	UNKNOWN	UNKNOWN	not in local safety table
FAT2	UNKNOWN	UNKNOWN	not in local safety table
FAT3	UNKNOWN	UNKNOWN	not in local safety table
FAT4	UNKNOWN	UNKNOWN	not in local safety table
FATE1	UNKNOWN	UNKNOWN	not in local safety table
FAU	UNKNOWN	UNKNOWN	not in local safety table
FAUP4	UNKNOWN	UNKNOWN	not in local safety table
FAXC	UNKNOWN	UNKNOWN	not in local safety table
FAXDC2	UNKNOWN	UNKNOWN	not in local safety table
FBF1	UNKNOWN	UNKNOWN	not in local safety table
FBH1	UNKNOWN	UNKNOWN	not in local safety table
FBL	UNKNOWN	UNKNOWN	not in local safety table
FBLIM1	UNKNOWN	UNKNOWN	not in local safety table
FBLL1	UNKNOWN	UNKNOWN	not in local safety table
FBLN1	UNKNOWN	UNKNOWN	not in local safety table
FBLN2	UNKNOWN	UNKNOWN	not in local safety table
FBLN5	UNKNOWN	UNKNOWN	not in local safety table
FBLN7	UNKNOWN	UNKNOWN	not in local safety table
FBN1	UNKNOWN	UNKNOWN	not in local safety table
FBN2	UNKNOWN	UNKNOWN	not in local safety table
FBN3	UNKNOWN	UNKNOWN	not in local safety table
FBP1	UNKNOWN	UNKNOWN	not in local safety table
FBP2	UNKNOWN	UNKNOWN	not in local safety table
FBRS	UNKNOWN	UNKNOWN	not in local safety table
FBRSL1	UNKNOWN	UNKNOWN	not in local safety table
FBXL12	UNKNOWN	UNKNOWN	not in local safety table
FBXL13	UNKNOWN	UNKNOWN	not in local safety table
FBXL14	UNKNOWN	UNKNOWN	not in local safety table
FBXL15	UNKNOWN	UNKNOWN	not in local safety table
FBXL16	UNKNOWN	UNKNOWN	not in local safety table
FBXL17	UNKNOWN	UNKNOWN	not in local safety table
FBXL18	UNKNOWN	UNKNOWN	not in local safety table
FBXL19	UNKNOWN	UNKNOWN	not in local safety table
FBXL19-AS1	UNKNOWN	UNKNOWN	not in local safety table
FBXL2	UNKNOWN	UNKNOWN	not in local safety table
FBXL20	UNKNOWN	UNKNOWN	not in local safety table
FBXL21	UNKNOWN	UNKNOWN	not in local safety table
FBXL22	UNKNOWN	UNKNOWN	not in local safety table
FBXL3	UNKNOWN	UNKNOWN	not in local safety table
FBXL4	UNKNOWN	UNKNOWN	not in local safety table
FBXL5	UNKNOWN	UNKNOWN	not in local safety table
FBXL6	UNKNOWN	UNKNOWN	not in local safety table
FBXL7	UNKNOWN	UNKNOWN	not in local safety table
FBXL8	UNKNOWN	UNKNOWN	not in local safety table
FBXL9P	UNKNOWN	UNKNOWN	not in local safety table
FBXO10	UNKNOWN	UNKNOWN	not in local safety table
FBXO11	UNKNOWN	UNKNOWN	not in local safety table
FBXO15	UNKNOWN	UNKNOWN	not in local safety table
FBXO16	UNKNOWN	UNKNOWN	not in local safety table
FBXO17	UNKNOWN	UNKNOWN	not in local safety table
FBXO18	UNKNOWN	UNKNOWN	not in local safety table
FBXO2	UNKNOWN	UNKNOWN	not in local safety table
FBXO21	UNKNOWN	UNKNOWN	not in local safety table
FBXO22	UNKNOWN	UNKNOWN	not in local safety table
FBXO24	UNKNOWN	UNKNOWN	not in local safety table
FBXO25	UNKNOWN	UNKNOWN	not in local safety table
FBXO27	UNKNOWN	UNKNOWN	not in local safety table
FBXO28	UNKNOWN	UNKNOWN	not in local safety table
FBXO3	UNKNOWN	UNKNOWN	not in local safety table
FBXO30	UNKNOWN	UNKNOWN	not in local safety table
FBXO31	UNKNOWN	UNKNOWN	not in local safety table
FBXO32	UNKNOWN	UNKNOWN	not in local safety table
FBXO33	UNKNOWN	UNKNOWN	not in local safety table
FBXO34	UNKNOWN	UNKNOWN	not in local safety table
FBXO36	UNKNOWN	UNKNOWN	not in local safety table
FBXO38	UNKNOWN	UNKNOWN	not in local safety table
FBXO39	UNKNOWN	UNKNOWN	not in local safety table
FBXO4	UNKNOWN	UNKNOWN	not in local safety table
FBXO40	UNKNOWN	UNKNOWN	not in local safety table
FBXO41	UNKNOWN	UNKNOWN	not in local safety table
FBXO42	UNKNOWN	UNKNOWN	not in local safety table
FBXO43	UNKNOWN	UNKNOWN	not in local safety table
FBXO44	UNKNOWN	UNKNOWN	not in local safety table
FBXO45	UNKNOWN	UNKNOWN	not in local safety table
FBXO46	UNKNOWN	UNKNOWN	not in local safety table
FBXO47	UNKNOWN	UNKNOWN	not in local safety table
FBXO48	UNKNOWN	UNKNOWN	not in local safety table
FBXO5	UNKNOWN	UNKNOWN	not in local safety table
FBXO6	UNKNOWN	UNKNOWN	not in local safety table
FBXO7	UNKNOWN	UNKNOWN	not in local safety table
FBXO8	UNKNOWN	UNKNOWN	not in local safety table
FBXO9	UNKNOWN	UNKNOWN	not in local safety table
FBXW10B	UNKNOWN	UNKNOWN	not in local safety table
FBXW11	UNKNOWN	UNKNOWN	not in local safety table
FBXW11P1	UNKNOWN	UNKNOWN	not in local safety table
FBXW12	UNKNOWN	UNKNOWN	not in local safety table
FBXW2	UNKNOWN	UNKNOWN	not in local safety table
FBXW4	UNKNOWN	UNKNOWN	not in local safety table
FBXW4P1	UNKNOWN	UNKNOWN	not in local safety table
FBXW5	UNKNOWN	UNKNOWN	not in local safety table
FBXW7	UNKNOWN	UNKNOWN	not in local safety table
FBXW7-AS1	UNKNOWN	UNKNOWN	not in local safety table
FBXW8	UNKNOWN	UNKNOWN	not in local safety table
FBXW9	UNKNOWN	UNKNOWN	not in local safety table
FCAMR	UNKNOWN	UNKNOWN	not in local safety table
FCAR	UNKNOWN	UNKNOWN	not in local safety table
FCER1A	UNKNOWN	UNKNOWN	not in local safety table
FCER1G	UNKNOWN	UNKNOWN	not in local safety table
FCER2	UNKNOWN	UNKNOWN	not in local safety table
FCF1	UNKNOWN	UNKNOWN	not in local safety table
FCGBP	UNKNOWN	UNKNOWN	not in local safety table
FCGR2A	UNKNOWN	UNKNOWN	not in local safety table
FCGR2B	UNKNOWN	UNKNOWN	not in local safety table
FCGR3A	UNKNOWN	UNKNOWN	not in local safety table
FCGRT	UNKNOWN	UNKNOWN	not in local safety table
FCHO1	UNKNOWN	UNKNOWN	not in local safety table
FCHO2	UNKNOWN	UNKNOWN	not in local safety table
FCHSD1	UNKNOWN	UNKNOWN	not in local safety table
FCHSD2	UNKNOWN	UNKNOWN	not in local safety table
FCMR	UNKNOWN	UNKNOWN	not in local safety table
FCN1	UNKNOWN	UNKNOWN	not in local safety table
FCN2	UNKNOWN	UNKNOWN	not in local safety table
FCN3	UNKNOWN	UNKNOWN	not in local safety table
FCRL1	UNKNOWN	UNKNOWN	not in local safety table
FCRL2	UNKNOWN	UNKNOWN	not in local safety table
FCRL3	UNKNOWN	UNKNOWN	not in local safety table
FCRL4	UNKNOWN	UNKNOWN	not in local safety table
FCRL5	UNKNOWN	UNKNOWN	not in local safety table
FCRL6	UNKNOWN	UNKNOWN	not in local safety table
FCRLA	UNKNOWN	UNKNOWN	not in local safety table
FCRLB	UNKNOWN	UNKNOWN	not in local safety table
FCSK	UNKNOWN	UNKNOWN	not in local safety table
FDCSP	UNKNOWN	UNKNOWN	not in local safety table
FDFT1	UNKNOWN	UNKNOWN	not in local safety table
FDPS	UNKNOWN	UNKNOWN	not in local safety table
FDPSP3	UNKNOWN	UNKNOWN	not in local safety table
FDPSP7	UNKNOWN	UNKNOWN	not in local safety table
FDPSP8	UNKNOWN	UNKNOWN	not in local safety table
FDX1	UNKNOWN	UNKNOWN	not in local safety table
FDX1L	UNKNOWN	UNKNOWN	not in local safety table
FDX2	UNKNOWN	UNKNOWN	not in local safety table
FDXACB1	UNKNOWN	UNKNOWN	not in local safety table
FDXR	UNKNOWN	UNKNOWN	not in local safety table
FECH	UNKNOWN	UNKNOWN	not in local safety table
FEM1A	UNKNOWN	UNKNOWN	not in local safety table
FEM1B	UNKNOWN	UNKNOWN	not in local safety table
FEM1C	UNKNOWN	UNKNOWN	not in local safety table
FEN1	UNKNOWN	UNKNOWN	not in local safety table
FER	UNKNOWN	UNKNOWN	not in local safety table
FER1L4	UNKNOWN	UNKNOWN	not in local safety table
FER1L5	UNKNOWN	UNKNOWN	not in local safety table
FER1L6	UNKNOWN	UNKNOWN	not in local safety table
FER1L6-AS1	UNKNOWN	UNKNOWN	not in local safety table
FER1L6-AS2	UNKNOWN	UNKNOWN	not in local safety table
FERD3L	UNKNOWN	UNKNOWN	not in local safety table
FERMT1	UNKNOWN	UNKNOWN	not in local safety table
FERMT2	UNKNOWN	UNKNOWN	not in local safety table
FERMT3	UNKNOWN	UNKNOWN	not in local safety table
FERP1	UNKNOWN	UNKNOWN	not in local safety table
FERRY3	UNKNOWN	UNKNOWN	not in local safety table
FES	UNKNOWN	UNKNOWN	not in local safety table
FETUB	UNKNOWN	UNKNOWN	not in local safety table
FEV	UNKNOWN	UNKNOWN	not in local safety table
FEZ1	UNKNOWN	UNKNOWN	not in local safety table
FEZ2	UNKNOWN	UNKNOWN	not in local safety table
FEZF1	UNKNOWN	UNKNOWN	not in local safety table
FEZF2	UNKNOWN	UNKNOWN	not in local safety table
FFAR1	UNKNOWN	UNKNOWN	not in local safety table
FFAR2	UNKNOWN	UNKNOWN	not in local safety table
FFAR3	UNKNOWN	UNKNOWN	not in local safety table
FFAR4	UNKNOWN	UNKNOWN	not in local safety table
FGA	UNKNOWN	UNKNOWN	not in local safety table
FGB	UNKNOWN	UNKNOWN	not in local safety table
FGD1	UNKNOWN	UNKNOWN	not in local safety table
FGD2	UNKNOWN	UNKNOWN	not in local safety table
FGD3	UNKNOWN	UNKNOWN	not in local safety table
