gene_symbol	safety_gate	critical_tissue_flag	note
ABI2	UNKNOWN	UNKNOWN	not in local safety table
ABI3	UNKNOWN	UNKNOWN	not in local safety table
ABI3BP	UNKNOWN	UNKNOWN	not in local safety table
ABITRAM	UNKNOWN	UNKNOWN	not in local safety table
ABL1	UNKNOWN	UNKNOWN	not in local safety table
ABL2	UNKNOWN	UNKNOWN	not in local safety table
ABLIM1	UNKNOWN	UNKNOWN	not in local safety table
ABLIM2	UNKNOWN	UNKNOWN	not in local safety table
ABLIM3	UNKNOWN	UNKNOWN	not in local safety table
ABO	UNKNOWN	UNKNOWN	not in local safety table
ABR	UNKNOWN	UNKNOWN	not in local safety table
ABRA	UNKNOWN	UNKNOWN	not in local safety table
ABRACL	UNKNOWN	UNKNOWN	not in local safety table
ABRAXAS1	UNKNOWN	UNKNOWN	not in local safety table
ABRAXAS1P1	UNKNOWN	UNKNOWN	not in local safety table
ABRAXAS2	UNKNOWN	UNKNOWN	not in local safety table
ABT1	UNKNOWN	UNKNOWN	not in local safety table
ABTB1	UNKNOWN	UNKNOWN	not in local safety table
ABTB2	UNKNOWN	UNKNOWN	not in local safety table
ABTB3	UNKNOWN	UNKNOWN	not in local safety table
ACAA1	UNKNOWN	UNKNOWN	not in local safety table
ACAA2	UNKNOWN	UNKNOWN	not in local safety table
ACACA	UNKNOWN	UNKNOWN	not in local safety table
ACACB	UNKNOWN	UNKNOWN	not in local safety table
ACAD10	UNKNOWN	UNKNOWN	not in local safety table
ACAD11	UNKNOWN	UNKNOWN	not in local safety table
ACAD8	UNKNOWN	UNKNOWN	not in local safety table
ACAD9	UNKNOWN	UNKNOWN	not in local safety table
ACAD9-DT	UNKNOWN	UNKNOWN	not in local safety table
ACADL	UNKNOWN	UNKNOWN	not in local safety table
ACADM	UNKNOWN	UNKNOWN	not in local safety table
ACADS	UNKNOWN	UNKNOWN	not in local safety table
ACADSB	UNKNOWN	UNKNOWN	not in local safety table
ACADVL	UNKNOWN	UNKNOWN	not in local safety table
ACAN	UNKNOWN	UNKNOWN	not in local safety table
ACAP1	UNKNOWN	UNKNOWN	not in local safety table
ACAP2	UNKNOWN	UNKNOWN	not in local safety table
ACAP3	UNKNOWN	UNKNOWN	not in local safety table
ACAT1	UNKNOWN	UNKNOWN	not in local safety table
ACAT2	UNKNOWN	UNKNOWN	not in local safety table
ACBD3	UNKNOWN	UNKNOWN	not in local safety table
ACBD4	UNKNOWN	UNKNOWN	not in local safety table
ACBD5	UNKNOWN	UNKNOWN	not in local safety table
ACBD6	UNKNOWN	UNKNOWN	not in local safety table
ACBD7	UNKNOWN	UNKNOWN	not in local safety table
ACCS	UNKNOWN	UNKNOWN	not in local safety table
ACCSL	UNKNOWN	UNKNOWN	not in local safety table
ACD	UNKNOWN	UNKNOWN	not in local safety table
ACE	UNKNOWN	UNKNOWN	not in local safety table
ACE2	UNKNOWN	UNKNOWN	not in local safety table
ACER1	UNKNOWN	UNKNOWN	not in local safety table
ACER2	UNKNOWN	UNKNOWN	not in local safety table
ACER3	UNKNOWN	UNKNOWN	not in local safety table
ACHE	UNKNOWN	UNKNOWN	not in local safety table
ACIN1	UNKNOWN	UNKNOWN	not in local safety table
ACKR1	UNKNOWN	UNKNOWN	not in local safety table
ACKR2	UNKNOWN	UNKNOWN	not in local safety table
ACKR3	UNKNOWN	UNKNOWN	not in local safety table
ACKR4	UNKNOWN	UNKNOWN	not in local safety table
ACLY	UNKNOWN	UNKNOWN	not in local safety table
ACMSD	UNKNOWN	UNKNOWN	not in local safety table
ACO1	UNKNOWN	UNKNOWN	not in local safety table
ACO2	UNKNOWN	UNKNOWN	not in local safety table
ACOD1	UNKNOWN	UNKNOWN	not in local safety table
ACOT1	UNKNOWN	UNKNOWN	not in local safety table
ACOT11	UNKNOWN	UNKNOWN	not in local safety table
ACOT12	UNKNOWN	UNKNOWN	not in local safety table
ACOT13	UNKNOWN	UNKNOWN	not in local safety table
ACOT2	UNKNOWN	UNKNOWN	not in local safety table
ACOT4	UNKNOWN	UNKNOWN	not in local safety table
ACOT6	UNKNOWN	UNKNOWN	not in local safety table
ACOT7	UNKNOWN	UNKNOWN	not in local safety table
ACOT8	UNKNOWN	UNKNOWN	not in local safety table
ACOT9	UNKNOWN	UNKNOWN	not in local safety table
ACOX1	UNKNOWN	UNKNOWN	not in local safety table
ACOX2	UNKNOWN	UNKNOWN	not in local safety table
ACOX3	UNKNOWN	UNKNOWN	not in local safety table
ACOXL	UNKNOWN	UNKNOWN	not in local safety table
ACP1	UNKNOWN	UNKNOWN	not in local safety table
ACP2	UNKNOWN	UNKNOWN	not in local safety table
ACP5	UNKNOWN	UNKNOWN	not in local safety table
ACP6	UNKNOWN	UNKNOWN	not in local safety table
ACP7	UNKNOWN	UNKNOWN	not in local safety table
ACPP	UNKNOWN	UNKNOWN	not in local safety table
ACPT	UNKNOWN	UNKNOWN	not in local safety table
ACR	UNKNOWN	UNKNOWN	not in local safety table
ACRBP	UNKNOWN	UNKNOWN	not in local safety table
ACRC	UNKNOWN	UNKNOWN	not in local safety table
ACRV1	UNKNOWN	UNKNOWN	not in local safety table
ACSBG1	UNKNOWN	UNKNOWN	not in local safety table
ACSBG2	UNKNOWN	UNKNOWN	not in local safety table
ACSF2	UNKNOWN	UNKNOWN	not in local safety table
ACSF3	UNKNOWN	UNKNOWN	not in local safety table
ACSL1	UNKNOWN	UNKNOWN	not in local safety table
ACSL3	UNKNOWN	UNKNOWN	not in local safety table
ACSL4	UNKNOWN	UNKNOWN	not in local safety table
ACSL5	UNKNOWN	UNKNOWN	not in local safety table
ACSL6	UNKNOWN	UNKNOWN	not in local safety table
