gene_symbol	logFC	p_value	adj_p_value	direction
RELN	10536	1.52161387458901e-07	0.00128463295165096	up
CADM3	-573.666666666667	3.13095058783128e-07	0.00128463295165096	down
NCKAP5	981	3.42112439290593e-07	0.00128463295165096	up
NNAT	-131.333333333333	3.55131549805474e-07	0.00128463295165096	down
PCDH9	579	3.59357992517332e-07	0.00128463295165096	up
SLC16A4	386.666666666667	5.01238449123269e-07	0.00140760763970819	up
TNNT1	594	5.51261803622991e-07	0.00140760763970819	up
NOL3	105.666666666667	8.55195916938861e-07	0.00191072147742065	up
HSPA12B	1343.33333333333	1.51752630033528e-06	0.00299593892523171	up
FAM78A	-285.666666666667	1.77907042947354e-06	0.00299593892523171	down
PLA2G2A	779.333333333333	1.92604082136861e-06	0.00299593892523171	up
CLMP	940	2.26302554253985e-06	0.00299593892523171	up
FER1L6	1831	2.27265909280804e-06	0.00299593892523171	up
MTND2P28	-236	2.34660092610742e-06	0.00299593892523171	down
STC1	1985.66666666667	2.9006129394718e-06	0.0034563703786746	up
COL12A1	14836	3.48926284736818e-06	0.00375970868891034	up
SLC6A15	3007.33333333333	4.32459012738645e-06	0.00375970868891034	up
SEMA3A	1398.66666666667	4.35452665425671e-06	0.00375970868891034	up
GP6	2760.33333333333	4.48684967414258e-06	0.00375970868891034	up
HPSE	3989	4.50694412417971e-06	0.00375970868891034	up
AFF3	646.666666666667	4.50874018312987e-06	0.00375970868891034	up
CST1	953	4.62759265726908e-06	0.00375970868891034	up
ULBP2	700.666666666667	5.8414288287721e-06	0.00417268495520385	up
SEMA3C	232.333333333333	5.89870708419343e-06	0.00417268495520385	up
LONRF3	-174.666666666667	6.03262909841095e-06	0.00417268495520385	down
SYNE1	18578.3333333333	6.06969949845027e-06	0.00417268495520385	up
ST6GALNAC1	244	7.31510010377246e-06	0.00454065352518789	up
VWFP1	-174	7.87016413560816e-06	0.00454065352518789	down
ANO1	301	8.09279687032134e-06	0.00454065352518789	up
SEMA7A	187.333333333333	8.19431323827394e-06	0.00454065352518789	up
PMP22	1620.33333333333	8.21488884956245e-06	0.00454065352518789	up
CCND2	1025.66666666667	8.21640849302532e-06	0.00454065352518789	up
FRAS1	-301	8.38321396056845e-06	0.00454065352518789	down
GJA4	-992.000000000001	9.14485144840566e-06	0.00456246365848061	down
ATF5	193	9.15823264272663e-06	0.00456246365848061	up
MTND1P23	-304	9.18925208153195e-06	0.00456246365848061	down
SYT9	987	9.49015295677547e-06	0.00458451334998391	up
PTK2B	69	9.98808986206784e-06	0.00464517328623341	up
OCLN	-207.666666666667	1.02911444541721e-05	0.00464517328623341	down
DLL4	-2613	1.03953749272315e-05	0.00464517328623341	down
SERPINB2	1182	1.10375323306264e-05	0.00480279842781249	up
KITLG	922.333333333333	1.1852273849942e-05	0.00480279842781249	up
NMU	146.666666666667	1.20313810223689e-05	0.00480279842781249	up
TNFSF4	1100.66666666667	1.25883318123662e-05	0.00480279842781249	up
ABI3BP	19204.6666666667	1.26675602117746e-05	0.00480279842781249	up
TBC1D2	1359.33333333333	1.30471649897517e-05	0.00480279842781249	up
TLR6	132.666666666667	1.30560096896656e-05	0.00480279842781249	up
AKR1C3	1446.33333333333	1.34636408440927e-05	0.00480279842781249	up
SEMA6A	-146	1.35598894167376e-05	0.00480279842781249	down
TMEM168	249.666666666667	1.43025283848837e-05	0.00480279842781249	up
ALDH1L2	1585.33333333333	1.44072820590837e-05	0.00480279842781249	up
ECM1	649.666666666667	1.46851811862921e-05	0.00480279842781249	up
SNCG	731.666666666667	1.48841938882488e-05	0.00480279842781249	up
MPZL2	3068.66666666667	1.49027274832534e-05	0.00480279842781249	up
CXCL11	893.333333333334	1.49720872660751e-05	0.00480279842781249	up
SFRP1	-400	1.56205408765668e-05	0.00480279842781249	down
CDCP1	3286.66666666667	1.62136272263578e-05	0.00480279842781249	up
NGEF	141.666666666667	1.6320384091729e-05	0.00480279842781249	up
CRTAC1	-133.333333333333	1.6428269285888e-05	0.00480279842781249	down
SLC17A5	1380.33333333333	1.68152911417402e-05	0.00480279842781249	up
GALNT3	201.333333333333	1.68783762482774e-05	0.00480279842781249	up
PPP1R3C	223	1.7148316683336e-05	0.00480279842781249	up
