gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
GRB2	1854	2137	2479	2246	2038	2127
GRB7	0	2	0	0	0	0
GREB1	24	20	18	6	8	2
GREB1L	80	65	118	579	494	601
GREM1	0	0	0	2	0	0
GRHL1	6	34	28	10	6	2
GRHL2	0	0	4	0	0	0
GRHPR	3072	3954	4687	2664	2358	2573
GRIA1	0	0	0	0	8	2
GRIA3	0	0	0	2	0	0
GRID1	2	0	0	0	0	12
GRID2IP	2	2	0	0	0	6
GRIK1-AS2	351	357	501	387	403	483
GRIK2	0	2	0	0	0	0
GRIK4	8	18	20	8	0	0
GRIK5	8	28	10	6	4	0
GRIN1	4	2	8	12	20	2
GRIN2A	0	0	0	4	8	0
GRIN2C	0	0	2	0	0	6
GRIN2D	72	105	107	825	677	784
GRIN3B	18	18	30	286	330	264
GRINA	1558	1856	2064	2124	1556	1970
GRIP1	4	12	16	0	0	8
GRIP2	0	0	0	0	2	6
GRIPAP1	1148	1426	1790	1338	1203	1109
GRK1	0	0	0	0	10	0
GRK2	2198	2965	3004	2711	2520	2786
GRK3	10	40	54	22	20	24
GRK4	93	103	124	100	105	125
GRK5	2284	2480	3058	2079	1925	2143
GRK6	575	830	829	960	637	690
GRM1	0	1	0	0	0	34
GRM2	0	0	2	2	0	2
GRM5	14	16	12	40	2	10
GRM8	2	0	0	0	2	4
GRN	14433	17553	18722	24300	20070	24056
GRPEL1	1072	1443	1700	1116	1185	1120
GRPEL2	215	268	286	203	134	171
GRPR	4	0	0	0	2	0
GRSF1	2341	3097	3468	2354	1972	2077
GRTP1	0	0	0	0	4	0
GRWD1	893	1210	1376	1171	904	1144
GSAP	49	68	77	135	178	154
GSDMB	87	42	118	59	101	72
GSDMC	48	72	72	275	227	305
GSDMD	794	1014	1062	482	338	512
GSDME	607	819	1092	1521	1394	1260
GSE1	308	394	465	246	234	216
GSEC	6	6	4	4	0	4
GSG1	0	0	0	0	0	4
GSK3A	487	609	680	885	811	871
GSK3B	1868	2457	2752	2186	1966	2072
GSK3B-DT	0	7	0	2	0	2
GSKIP	115	150	152	114	136	166
GSN	7246	9373	9311	15397	12258	14238
GSPT1	5231	7251	8113	7776	6227	7396
GSPT2	280	298	368	222	208	212
GSR	3204	4430	5312	4363	3569	3906
GSS	1965	2645	3148	3553	2935	3226
