gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
A1BG-AS1	22	19	34	52	28	12
A2M	365	466	506	1226	1113	1170
A2M-AS1	6	0	0	0	0	0
A3GALT2	0	0	0	1	0	4
A4GALT	212	293	268	324	324	306
AAAS	2655	3972	4153	3823	3294	3410
AACS	980	1446	1392	1070	845	1015
AADAC	33	36	19	25	57	41
AADACP1	0	0	0	3	4	4
AADAT	66	60	76	75	70	82
AAGAB	1427	1706	1750	1721	1429	1494
AAK1	2923	3930	4335	3166	2987	3095
AAMDC	388	553	550	838	604	715
AAMP	2221	3263	3314	2496	2162	2273
AAR2	428	678	692	738	522	544
AARS1	8946	11843	13435	18742	15827	15685
AARS2	937	1267	1283	1268	977	1047
AARSD1	10	3	6	2	2	0
AASDH	260	387	389	268	268	341
AASDHPPT	320	478	386	469	377	531
AASS	893	1237	1380	776	849	716
AATBC	4	0	8	2	2	0
AATF	1490	2193	2406	1584	1251	1582
AATK	16	10	22	18	16	10
ABAT	77	114	96	190	102	122
ABCA1	806	1354	1283	170	175	152
ABCA10	23	19	55	29	10	22
ABCA12	2	18	14	6	0	2
ABCA13	14	14	8	4	0	0
ABCA15P	0	0	1	2	0	0
ABCA2	1774	2130	2450	3630	3286	3294
ABCA3	5673	7696	8237	22156	18191	18124
ABCA4	395	414	321	186	142	119
ABCA5	318	393	628	394	303	376
ABCA6	509	579	686	2330	2152	2414
ABCA7	194	180	212	534	454	540
ABCA8	72	112	140	244	218	239
ABCA9	133	133	153	484	405	391
ABCA9-AS1	6	0	4	0	0	0
ABCB1	78	52	92	178	162	122
ABCB10	596	761	853	1143	847	903
ABCB11	16	10	20	0	0	2
ABCB4	4	0	8	18	12	6
ABCB6	21	70	38	38	38	39
ABCB7	892	1389	1323	1037	957	930
ABCB8	287	430	413	542	417	464
ABCB9	210	271	319	316	215	209
ABCC1	5413	6778	7323	9313	7398	8444
ABCC10	573	746	799	816	571	618
ABCC11	2	0	0	0	4	2
ABCC12	0	0	0	0	4	0
ABCC2	116	161	146	81	38	56
ABCC3	12	22	6	14	30	14
ABCC4	1060	1492	1835	1508	1380	1484
ABCC5	978	978	1182	762	637	651
ABCC6	0	0	0	8	1	0
ABCC6P1	0	0	1	0	0	0
ABCC9	0	0	4	0	0	0
ABCD1	499	573	636	662	489	714
ABCD3	1407	2048	2354	2355	1901	2237
ABCD4	959	1381	1606	1053	992	935
ABCE1	2390	3062	3459	2731	2178	2510
ABCF1	3483	4711	5107	3334	2848	3427
ABCF2	38	70	50	41	34	29
ABCF2P1	4	2	0	0	0	0
ABCF3	1571	2236	2161	1628	1094	1356
ABCG1	1026	1270	1207	2747	2388	2827
ABCG2	1571	1799	2183	56	60	82
ABCG4	8	12	16	8	16	26
ABHD10	337	368	550	294	210	243
ABHD11	92	131	195	306	214	248
ABHD12	1560	2097	2179	2783	2113	2518
ABHD13	156	258	238	160	130	126
ABHD14A	12	27	22	17	11	10
ABHD14B	81	117	114	84	63	59
ABHD15	63	116	87	166	118	78
ABHD16A	13	16	25	12	21	17
ABHD17A	1433	1984	2067	2476	2036	2113
ABHD17B	292	340	513	220	226	254
ABHD17C	198	214	242	214	168	146
ABHD18	149	188	236	150	88	136
ABHD2	551	872	836	658	582	634
ABHD3	66	63	92	94	84	88
ABHD4	345	474	358	486	309	394
ABHD5	415	540	546	531	538	627
ABHD6	90	119	100	91	70	80
ABHD8	54	66	102	128	68	98
ABI1	1454	2124	2420	2519	2136	2210
ABI2	702	805	891	423	388	467
ABI3	484	640	677	862	611	717
ABI3BP	5731	7690	7728	27655	25432	25676
ABITRAM	70	134	122	90	84	80
ABL1	3991	4991	5567	3152	2715	3138
ABL2	3929	5192	5967	4066	3541	3621
ABLIM1	3758	4468	5233	3442	3030	2788
ABLIM2	6	8	0	10	8	4
ABLIM3	2556	3326	3347	6024	4771	5502
ABO	0	0	6	0	0	0
ABR	2611	3539	3897	4686	4359	4403
ABRACL	263	353	414	354	292	328
ABRAXAS1	298	443	425	563	454	618
ABRAXAS1P1	0	0	0	0	2	0
ABRAXAS2	332	499	619	369	376	468
ABT1	288	290	298	198	158	196
ABTB1	136	276	244	120	108	155
ABTB2	6	6	13	38	13	76
ABTB3	14	32	28	282	227	358
ACAA1	746	999	1043	732	481	620
ACAA2	702	977	1181	1034	900	901
ACACA	4320	6228	7263	5370	5411	5410
ACACB	71	93	89	107	77	104
ACAD10	270	344	414	290	214	240
ACAD11	13	1	3	5	2	0
ACAD8	687	845	934	647	579	849
ACAD9	3094	3818	4282	2300	1956	2512
ACAD9-DT	1	0	0	0	0	0
ACADL	0	2	6	0	0	0
ACADM	864	1306	1464	615	678	902
ACADS	231	293	274	506	292	354
ACADSB	131	164	270	204	165	188
ACADVL	7269	8796	11094	12614	10479	11950
ACAN	6	0	2	0	0	0
ACAP1	0	0	0	0	6	0
ACAP2	1070	1628	1641	1299	1113	1374
ACAP3	273	536	453	458	516	526
ACAT1	1371	1878	2216	1971	1614	2114
ACAT2	909	1052	1353	473	393	418
ACBD3	792	1242	1137	1308	1260	1398
ACBD4	126	142	170	122	130	161
ACBD5	1004	1504	1633	2639	2045	2299
ACBD7	18	22	24	0	6	0
ACCS	64	71	42	121	117	122
ACD	472	556	574	704	594	652
ACE	2950	3461	4049	936	847	1003
ACER1	0	0	0	0	4	4
ACER2	117	84	152	80	64	49
ACER3	410	521	671	1099	901	1015
ACHE	2	0	0	4	2	2
ACIN1	6056	7239	8441	4326	4187	4448
ACKR1	8	2	12	0	0	0
ACKR2	0	0	0	0	2	0
ACKR3	178	164	224	380	356	452
ACKR4	22	42	30	44	10	54
ACLY	14908	20580	22600	19192	15774	16464
ACMSD	0	0	10	0	0	0
ACO1	2784	3668	4563	2830	2016	2754
ACO2	4518	6348	7183	5460	4527	5439
ACOT1	42	96	90	119	220	164
ACOT11	130	158	148	80	94	94
ACOT13	276	334	393	447	312	360
ACOT2	172	179	286	687	489	703
ACOT4	0	0	2	0	0	0
ACOT6	0	0	0	4	0	0
ACOT7	2713	3996	3929	7127	6068	5792
ACOT8	130	147	136	222	218	155
ACOT9	3008	3617	4304	3299	2789	3114
ACOX1	2747	3288	4126	3586	3052	3149
ACOX2	68	46	54	20	24	8
ACOX3	799	1047	1162	845	691	790
ACP1	871	1100	1182	950	730	1062
ACP2	280	394	388	429	356	350
ACP5	14	14	14	2	2	0
ACP6	167	150	184	98	30	45
ACP7	2	6	1	42	4	28
ACR	7	1	2	4	3	18
ACRBP	6	17	34	8	12	10
ACRV1	2	0	0	0	8	0
ACSBG1	0	0	1	0	0	0
ACSBG2	0	0	0	0	2	0
ACSF2	324	465	526	298	301	322
ACSF3	785	1046	1143	727	640	738
ACSL1	502	808	902	1046	876	898
ACSL3	2046	2830	3162	2815	2369	2772
ACSL4	1382	2304	2217	2714	2316	2561
ACSL5	36	58	69	23	26	54
ACSM1	2	0	4	0	0	2
ACSM2B	4	10	8	14	0	2
ACSM3	63	71	70	51	40	20
ACSM5	0	0	2	0	0	0
ACSS1	191	235	228	188	195	189
ACSS2	1186	1492	1616	1457	1357	1500
ACSS3	2	2	2	0	0	0
ACTA1	0	4	4	0	4	8
ACTA2	463	700	603	2744	2274	2104
ACTA2-AS1	0	1	0	0	0	2
ACTB	335778	471654	492995	716392	587628	618468
ACTBP14	0	0	2	2	0	0
ACTC1	0	0	0	0	2	0
ACTG1	200652	285754	291228	284664	233484	248467
ACTG1P14	4	1	2	6	1	0
ACTG1P16	0	2	0	2	0	0
ACTG1P23	0	0	0	6	0	2
ACTG1P24	2	0	1	0	0	0
ACTG2	0	4	0	0	0	0
ACTL10	4	22	8	14	8	12
ACTL11P	0	0	0	6	0	0
ACTL6A	1600	1775	2315	1228	988	1270
ACTMAP	173	220	184	241	226	245
ACTN1	19885	26756	27618	41194	34773	37212
ACTN2	106	115	164	8	16	4
ACTN3	4	0	0	40	20	18
ACTN4	39252	53428	56631	79222	64518	77044
ACTN4P1	0	0	0	0	4	0
ACTR10	1284	1590	2033	2038	1651	1827
ACTR1A	5598	7628	8236	9345	6809	7529
ACTR1AP1	0	0	0	0	0	2
ACTR1B	1005	1436	1291	1808	1664	1712
ACTR2	6987	9993	10903	10189	8895	10740
ACTR3	7374	9976	11307	11586	9375	11523
ACTR3-AS1	0	1	0	0	1	2
ACTR3B	221	246	269	194	181	215
ACTR3C	1	0	9	0	4	4
ACTR5	189	298	251	192	136	204
ACTR6	224	367	388	390	302	419
ACTR8	580	754	871	725	552	695
ACTRT3	40	36	65	54	52	36
ACVR1	1341	1662	1971	2944	2393	2734
ACVR1B	579	764	903	473	400	534
ACVR1C	0	0	0	0	4	6
ACVR2A	276	377	434	327	232	308
ACVR2B	212	211	244	84	62	112
ACVR2B-AS1	4	0	0	0	0	2
ACVRL1	9244	12121	12694	19114	14821	18070
ACY1	0	1	2	1	4	1
ACYP1	144	162	188	164	140	177
ACYP2	32	56	40	67	54	62
ADA	2218	2946	3067	1194	990	1164
ADA2	58	118	114	78	54	54
ADAD2	0	4	8	0	0	0
ADAM10	5322	7762	8373	9248	8078	8950
ADAM11	0	4	2	2	10	2
ADAM12	28	48	16	40	54	18
ADAM15	8998	11974	12214	22727	17909	21043
ADAM17	1968	2408	2940	2271	1844	2100
ADAM19	3143	4019	4334	3516	2912	3233
ADAM20	4	8	16	14	8	1
ADAM20P1	0	2	0	0	0	0
ADAM21	0	14	2	2	8	8
ADAM22	24	56	50	34	62	50
ADAM23	1720	2119	2687	1600	1317	1662
ADAM28	0	0	0	4	0	0
ADAM32	58	58	89	60	27	25
ADAM33	0	0	0	0	2	0
ADAM3B	0	2	0	0	0	0
ADAM8	0	0	7	2	0	4
ADAM9	12460	18765	20096	30244	27079	32257
ADAMTS1	469	560	655	2568	2246	2289
ADAMTS10	92	158	167	8	14	8
ADAMTS12	12	18	24	990	874	808
ADAMTS13	45	48	71	94	114	180
ADAMTS15	20	6	4	0	0	1
ADAMTS17	1	0	2	0	0	0
ADAMTS18	554	727	883	667	627	682
ADAMTS2	8	2	10	0	0	0
ADAMTS3	20	22	30	6	10	0
ADAMTS4	1443	1706	1740	3197	2842	2700
ADAMTS5	0	0	0	8	2	6
ADAMTS6	678	936	1015	2412	2144	2212
ADAMTS7	2546	3036	3379	2090	1844	1807
ADAMTS7P1	2	2	0	0	2	0
ADAMTS7P3	8	4	2	0	0	0
ADAMTS7P4	0	0	0	1	0	0
ADAMTS8	0	0	6	0	0	0
ADAMTS9	4656	5697	6943	3882	3451	3669
ADAMTS9-AS1	0	0	1	0	0	0
ADAMTS9-AS2	2	0	2	0	0	0
ADAMTSL1	1282	1575	1812	3154	2794	3544
ADAMTSL2	0	0	0	0	0	2
ADAMTSL3	0	6	0	0	0	0
ADAMTSL4	20	18	34	8	20	40
ADAMTSL4-AS1	1986	2652	2626	2748	2468	2443
ADAMTSL4-AS2	18	15	24	18	26	18
ADAMTSL5	0	2	0	6	0	0
ADAP2	0	6	12	0	0	0
ADAR	9712	12655	13789	12505	11101	10932
ADARB1	560	640	714	596	518	579
ADAT1	478	620	738	730	521	600
ADAT2	131	164	186	77	108	74
ADAT3	17	20	22	17	10	8
ADCK1	88	143	110	160	160	98
ADCK2	282	322	422	1043	760	903
ADCK5	140	122	140	92	80	86
ADCY1	44	72	32	54	8	18
ADCY10	6	0	2	18	12	3
ADCY10P1	0	1	3	0	0	0
ADCY3	1147	1392	1500	1190	926	859
ADCY4	635	656	922	1842	1541	1487
ADCY6	1136	1435	1504	1593	1501	1462
ADCY7	182	194	306	574	432	534
ADCY9	495	678	644	1256	1056	890
ADCYAP1R1	10	6	1	2	0	0
ADD1	7320	9343	10516	8397	6772	8527
ADD2	4	0	4	6	6	14
ADD3	1465	1830	2134	2440	1867	2261
ADGRA2	1239	1332	1458	1285	1238	1289
ADGRA3	1464	2218	2384	274	154	306
ADGRB1	2	0	2	20	8	6
ADGRB2	39	90	68	64	26	30
ADGRE5	306	348	356	170	108	88
ADGRF3	5	2	2	2	3	4
ADGRF4	0	0	0	2	0	2
ADGRF5	1317	1765	1866	3329	2997	3118
ADGRG1	5826	7177	8006	5196	4083	5081
ADGRG4	0	2	0	2	2	2
ADGRG6	3759	4964	5457	8199	6913	8585
ADGRG7	68	102	122	770	646	850
ADGRL1	360	429	370	348	252	212
ADGRL1-AS1	14	14	43	50	27	18
ADGRL2	3408	4882	5084	4103	3634	3920
ADGRL3	0	0	2	0	0	0
ADGRL4	8522	11903	13108	10827	9636	10680
ADGRV1	6	4	8	14	6	12
ADH1B	0	0	4	0	0	0
ADH5	1955	2646	2999	1680	1534	1698
ADH5P3	0	0	0	0	0	2
ADHFE1	2	0	3	0	0	0
ADI1	444	586	563	410	387	434
ADIPOR1	1381	1845	1737	2024	1761	1830
ADIPOR2	508	618	680	520	549	599
ADIRF	112	191	176	2924	2397	2683
ADISSP	446	607	591	288	278	266
ADK	2218	3219	3650	3225	2765	3150
ADM	550	534	590	318	254	330
ADM2	0	0	2	20	10	16
ADM5	0	6	4	2	0	0
ADNP	2523	3322	3668	2972	2549	2900
ADNP2	515	618	808	632	572	606
ADO	36	56	78	58	44	30
ADORA2A	1	1	0	0	0	0
ADORA2A-AS1	2	0	2	0	0	0
ADORA2B	111	118	156	160	125	116
ADORA3	2	0	6	0	2	0
ADPGK	664	763	842	765	713	668
ADPGK-AS1	0	0	0	0	1	0
ADPRH	36	34	48	82	60	90
ADPRHL1	4	4	6	2	8	6
ADPRM	110	146	202	162	130	162
ADPRS	316	400	372	388	317	336
ADRA1B	0	4	0	0	0	0
ADRA1D	0	6	2	0	4	4
ADRA2B	0	0	6	0	0	0
ADRA2C	4	0	0	0	0	0
ADRB1	6	8	2	12	12	6
ADRB2	108	100	98	200	120	122
ADRM1	3297	4219	4244	4775	3682	4608
ADSL	168	226	219	132	103	107
ADSS1	24	52	32	62	22	40
ADSS2	3630	5109	5770	3041	2564	3101
ADTRP	181	201	329	688	596	671
AEBP1	3982	4777	4941	4	52	178
AEBP2	439	679	639	553	444	543
AEN	630	760	806	729	657	817
AFAP1	3414	4426	4892	3409	2895	3012
AFAP1-AS1	0	1	6	0	0	2
AFAP1L1	2917	3484	3391	2546	2001	2255
AFAP1L2	92	82	68	2	0	2
AFDN	4238	5322	5872	2714	2330	2451
AFF1	2498	3243	3446	3150	2571	3430
AFF2	30	50	48	68	76	104
AFF3	43	63	59	688	667	750
AFF4	3484	4637	5099	4903	4530	4620
AFG1L	82	80	122	140	71	107
AFG2A	440	513	551	310	289	247
AFG2B	297	346	368	244	224	230
AFG3L1P	11	16	7	16	11	7
AFG3L2	2644	3760	4227	3971	3111	3299
AFMID	307	419	530	416	262	357
AFTPH	427	684	721	616	486	643
AGA	478	508	556	444	400	417
AGAP1	936	1316	1237	691	836	728
AGAP1-IT1	0	2	1	0	0	0
AGAP11	0	0	0	0	1	0
AGAP12P	0	3	0	1	0	0
AGAP2	0	2	12	94	85	26
AGAP2-AS1	0	1	2	0	0	2
AGAP3	2377	2976	3172	3642	2533	3031
AGAP4	939	894	1231	951	473	597
AGAP5	0	12	2	38	9	0
AGAP6	52	56	63	32	16	17
AGAP9	622	499	818	1422	806	1057
AGBL1	0	0	0	0	0	5
AGBL2	2	0	0	0	0	4
AGBL3	12	9	31	29	34	24
AGBL5	587	840	900	632	429	608
AGER	63	79	95	2	36	53
AGFG1	1913	2326	2919	2390	1910	2699
AGFG2	1107	1194	1426	1201	870	1136
AGGF1	114	158	177	202	195	171
AGK	796	1033	1208	1005	784	1017
AGKP1	8	2	4	0	2	0
AGL	867	1336	1425	1527	1363	1521
AGMAT	22	28	16	0	4	4
AGMO	14	34	14	8	12	5
AGO1	1645	2117	2447	1270	926	1357
AGO2	1754	2130	2301	1441	1436	1357
AGO3	600	805	807	836	783	842
AGO4	386	598	510	394	442	534
AGPAT1	1157	1637	1556	2293	1923	1760
AGPAT2	409	638	607	888	790	646
AGPAT3	1576	1800	2061	2403	1717	2201
AGPAT4	374	390	435	388	363	352
AGPAT5	715	713	911	664	564	690
AGPS	3179	4955	4882	4040	3819	4385
AGPS-DT	12	14	13	0	16	8
AGRN	5238	6658	6840	5502	4708	5351
AGT	0	0	0	0	0	1
AGTPBP1	809	1051	1205	847	531	733
AGTR1	0	0	0	0	0	2
AGTRAP	270	359	387	460	443	516
AHCTF1	1924	2818	3164	3069	2647	2615
AHCY	3355	4803	5004	5334	4301	4603
AHCYL1	4343	5006	6032	4423	3573	4047
AHCYL2	515	669	602	832	774	974
AHDC1	416	496	528	418	362	320
AHI1	406	456	699	638	556	540
AHI1-DT	2	6	8	0	0	0
AHNAK	89545	119713	139991	253039	224951	237281
AHNAK2	21295	32470	33165	60700	51550	52056
AHR	178	251	207	148	162	182
AHRR	3	3	9	4	6	1
AHSA1	4946	6584	7935	4616	3454	4466
AHSA2P	76	85	71	33	40	34
AIDA	1188	1774	1722	2185	1796	2019
AIF1L	166	180	135	2	0	6
AIFM1	1563	2225	2367	1581	1304	1328
AIFM2	136	226	204	259	218	196
AIG1	183	198	274	94	55	88
AIM2	0	0	2	0	0	0
AIMP1	634	790	1115	824	776	927
AIMP2	561	855	870	721	624	682
AIP	672	962	977	1370	1052	1179
AIRE	2	2	0	2	0	2
AIRIM	117	100	124	64	86	82
AJM1	18	24	10	80	25	56
AJUBA	525	722	809	511	436	404
AK1	14	21	13	2	15	5
AK2	6320	8755	9998	7014	5120	5880
AK2P1	6	10	10	10	20	4
AK3	875	1151	1342	1235	1106	1156
AK4	97	96	102	28	14	20
AK5	110	176	226	14	8	28
AK6	154	160	190	162	153	196
AK7	6	18	8	2	4	14
AK8	7	10	14	0	0	2
AK9	160	234	176	252	148	122
AKAP1	749	1016	1154	530	505	534
AKAP10	424	477	554	467	411	426
AKAP11	966	1640	1594	1548	1484	1787
AKAP12	10015	14185	13994	15310	14220	16683
AKAP13	4733	5640	6778	5387	4404	5863
AKAP19	0	0	6	6	6	0
AKAP3	2	8	6	12	8	0
AKAP5	2	4	14	4	0	2
AKAP6	8	6	14	32	14	30
AKAP7	50	62	82	32	44	64
AKAP8	809	1105	1301	1156	941	989
AKAP8L	1922	2489	2858	3084	2723	2756
AKAP9	2679	4407	4764	4615	4264	4938
AKIP1	208	252	229	335	322	391
AKIRIN1	532	794	835	425	501	597
AKIRIN2	479	592	726	428	370	338
AKNA	593	726	788	463	462	460
AKNAD1	0	0	2	0	0	0
AKR1A1	2411	3043	3271	2520	1830	2038
AKR1B1	6238	8776	9376	9222	7765	7707
AKR1B10	8	8	4	18	32	42
AKR1C1	104	113	160	538	522	459
AKR1C2	16	16	3	10	16	3
AKR1C3	338	494	480	1992	1833	1826
AKR1C4	0	0	0	0	2	0
AKR1E2	78	125	105	161	155	163
AKR7A2	2229	3491	3384	3248	2785	2982
AKR7A3	10	6	0	0	10	29
AKR7L	0	6	2	0	0	4
AKT1	5401	7614	7581	9266	7090	8146
AKT1S1	447	659	472	885	714	816
AKT2	1287	1749	1730	2917	2390	2595
AKT3	1423	2086	2255	1805	1459	1586
AKT3-IT1	2	0	1	0	0	0
AKTIP	298	408	441	508	582	632
ALAD	586	704	657	636	494	484
ALAS1	1769	2171	2333	1506	1131	1496
ALB	0	0	0	2	2	0
ALCAM	1406	2358	2327	2099	1771	2455
ALDH16A1	540	701	767	741	534	545
ALDH18A1	4888	7040	7751	5983	5042	5249
ALDH1A1	1371	2143	2262	702	715	716
ALDH1A2	1176	1405	1605	1237	1093	1203
ALDH1A3	206	214	254	460	398	489
ALDH1A3-AS1	8	14	10	12	16	19
ALDH1B1	382	492	504	356	226	232
ALDH1L1	0	0	0	2	0	0
ALDH1L2	103	154	120	1867	1598	1668
ALDH2	769	1042	1047	734	620	780
ALDH3A1	0	10	0	20	4	0
ALDH3A2	811	876	1152	1078	961	979
ALDH3B1	2	12	4	10	22	12
ALDH4A1	211	400	372	469	487	468
ALDH5A1	20	28	30	2	0	2
ALDH6A1	561	830	924	260	208	298
ALDH7A1	4279	5404	6311	6128	5991	6164
ALDH7A1P1	8	2	6	22	6	6
ALDH8A1	2	0	4	0	0	0
ALDH9A1	1079	1436	1700	1600	1302	1342
ALDOA	262	414	373	477	353	399
ALDOB	0	0	68	38	2	4
ALDOC	270	354	348	308	306	364
ALG1	1725	2269	2749	3162	2578	3375
ALG10	363	493	529	511	369	540
ALG10B	164	311	204	182	178	188
ALG11	225	212	210	177	172	250
ALG12	757	1109	1241	1478	1271	1459
ALG13	378	494	725	415	323	466
ALG14	129	198	240	116	122	98
ALG14-AS1	6	6	12	0	4	2
ALG1L10P	0	6	0	10	2	0
ALG1L2	0	2	0	0	0	0
ALG1L9P	1	0	1	0	0	0
ALG2	1165	1303	1686	1423	978	1059
ALG3	641	982	1080	1102	910	810
ALG5	664	931	1015	855	750	734
ALG6	346	523	672	573	504	688
ALG8	1006	1302	1481	1260	1056	1297
ALG9	10	17	20	10	11	10
ALK	0	0	0	3	2	2
ALKBH1	188	279	275	164	194	144
ALKBH2	88	110	86	209	208	266
ALKBH3	676	701	1004	728	682	752
ALKBH4	30	66	46	56	62	38
ALKBH5	1184	1498	1372	1184	1024	1186
ALKBH6	0	5	2	1	3	2
ALKBH7	158	159	169	210	184	272
ALKBH8	174	293	354	268	272	290
ALMS1	926	1356	1481	893	740	905
ALMS1-IT1	0	6	0	0	0	0
ALOX12	1	0	0	0	0	0
ALOX12B	0	0	0	0	0	2
ALOX15	0	0	0	4	2	0
ALOX5AP	6	0	0	0	0	0
ALOXE3	0	6	8	0	10	8
ALPK1	96	123	116	268	183	223
ALPK2	0	0	0	0	0	4
ALPK3	1151	1525	1680	90	20	77
ALPL	2	2	4	10	6	0
ALS2	1951	2749	2988	3149	2911	3294
ALS2CL	66	103	95	209	202	196
ALX1	97	111	107	186	196	191
ALYREF	1567	2062	1952	1231	1083	1145
AMACR	0	1	0	0	0	0
AMANZI	0	0	0	0	2	0
AMBRA1	1169	1752	1807	1909	1527	1513
AMD1	721	1089	1085	700	523	727
AMDHD1	0	0	0	6	0	0
AMDHD2	229	216	240	267	239	245
AMER1	92	164	166	58	64	56
AMFR	3130	3918	4382	6213	5167	5280
AMH	4	8	6	24	6	0
AMIGO1	8	12	22	8	10	8
AMIGO2	228	322	352	292	216	274
AMMECR1	96	197	117	120	110	128
AMMECR1L	760	1083	1182	1214	1178	1074
AMMECR1LP1	0	0	0	0	2	0
AMN	0	0	0	28	0	0
AMN1	220	278	349	344	363	425
AMN1-AS1	0	0	0	8	0	4
AMOT	28	12	38	4	16	16
AMOTL1	2636	3262	3751	2581	2246	2524
AMOTL2	1686	2153	2266	1103	1118	1052
AMPD1	0	0	0	0	4	0
AMPD2	1408	1615	1820	1625	1184	1414
AMPD3	45	48	39	64	59	78
AMPH	138	166	174	12	2	8
AMT	1	0	2	0	0	0
AMTN	0	0	0	204	182	301
AMY2B	62	103	127	96	50	92
AMZ2	1059	1374	1599	1443	1127	1473
AMZ2P1	0	0	3	0	0	0
ANAPC1	3555	4614	5592	3892	3215	3817
ANAPC10	68	122	131	160	90	76
ANAPC11	338	441	412	395	397	464
ANAPC13	242	296	354	224	250	248
ANAPC15	921	1251	1257	1133	904	1049
ANAPC16	300	523	479	385	310	368
ANAPC1P2	1	1	17	0	0	0
ANAPC2	693	744	766	568	517	492
ANAPC4	369	518	590	417	329	577
ANAPC5	2654	3385	4030	4794	3990	3912
ANAPC7	858	972	1235	1001	961	897
ANG	83	73	175	79	67	95
ANGEL1	285	323	367	504	381	482
ANGEL2	320	400	493	295	297	286
ANGPT1	26	26	50	30	66	62
ANGPT2	1963	2717	3023	1083	1023	1167
ANGPTL1	0	4	6	0	2	4
ANGPTL2	487	639	670	280	256	220
ANGPTL4	785	933	714	601	508	676
ANGPTL5	6	16	12	0	0	0
ANGPTL8	0	0	1	0	0	0
ANK1	78	79	151	8	8	12
ANK2	2	2	10	319	256	398
ANK3	261	358	502	968	904	1002
ANKAR	56	57	47	123	60	79
ANKDD1A	8	12	38	59	40	55
ANKDD1B	3	10	4	0	8	4
ANKEF1	107	138	131	132	141	134
ANKFN1	8	0	14	0	2	2
ANKFY1	1339	1617	1945	1584	1294	1310
ANKH	957	1525	1523	1697	1581	1651
ANKHD1	18	8	14	11	9	11
ANKHD1-EIF4EBP3	5	11	6	4	8	0
ANKIB1	1385	1682	2232	3176	2653	3110
ANKLE1	33	20	11	27	6	12
ANKLE2	1533	1707	2019	1959	1899	1643
ANKMY1	113	142	157	156	80	148
ANKMY2	117	206	191	333	330	290
ANKRA2	169	186	262	271	271	208
ANKRD1	13237	16956	18531	36280	32333	33440
ANKRD10	618	741	876	267	354	347
ANKRD11	12545	15718	17620	11531	10740	11092
ANKRD12	628	1146	1230	1174	1040	1214
ANKRD13A	1016	1228	1409	1266	966	1271
ANKRD13B	873	1008	1020	822	688	832
ANKRD13C	552	713	862	937	807	943
ANKRD13C-DT	8	16	26	8	10	24
ANKRD13D	399	520	389	370	346	443
ANKRD16	102	93	103	122	60	81
ANKRD17	11253	15267	16666	13609	11697	13266
ANKRD17-DT	2	0	0	0	0	0
ANKRD18B	122	350	303	308	231	211
ANKRD2	8	16	12	18	16	24
ANKRD20A1	50	51	110	54	43	64
ANKRD20A18P	6	1	6	0	0	8
ANKRD20A8P	0	0	2	0	0	0
ANKRD23	2	2	0	0	0	0
ANKRD24	6	6	7	14	17	15
ANKRD26	667	799	894	959	851	768
ANKRD26P4	2	0	0	0	0	0
ANKRD27	1368	1811	2041	2034	1682	1654
ANKRD28	1785	2666	2687	2064	1868	2186
ANKRD29	2	16	8	106	74	80
ANKRD33	0	2	10	6	0	4
ANKRD33B	62	74	73	2	10	12
ANKRD34A	6	12	0	24	10	8
ANKRD35	4	2	14	10	18	16
ANKRD35-DT	1	0	0	0	0	0
ANKRD36	1898	2261	3389	1438	1406	1463
ANKRD36B	862	1075	1250	699	754	896
ANKRD36C	2530	2975	3659	2032	1941	1916
ANKRD37	138	173	122	2	28	42
ANKRD39	54	76	59	65	50	30
ANKRD40	644	830	810	626	652	642
ANKRD42	143	178	192	364	280	289
ANKRD42-DT	0	6	15	4	4	4
ANKRD44	181	293	403	311	266	288
ANKRD46	144	140	180	198	166	194
ANKRD49	92	108	98	82	104	116
ANKRD50	2375	3337	3657	3282	3018	3267
ANKRD52	2825	3407	3666	3517	3009	3193
ANKRD53	23	28	10	10	0	4
ANKRD54	271	410	397	356	305	286
ANKRD55	42	68	76	0	13	10
ANKRD6	64	111	140	26	20	14
ANKRD61	5	4	4	6	2	0
ANKRD65	0	6	0	0	0	0
ANKRD7	0	0	2	0	2	4
ANKRD9	28	32	28	42	36	22
ANKS1A	1215	1581	1882	1961	1637	1925
ANKS1B	4	10	4	0	15	14
ANKS3	142	219	166	155	132	96
ANKS6	291	365	387	342	290	355
ANKZF1	404	510	526	344	284	370
ANLN	1922	3250	3330	2072	1610	2143
ANO1	4	8	6	334	294	293
ANO10	1484	1952	2282	2657	2182	2352
ANO2	970	1135	1361	519	436	526
ANO4	18	20	16	759	607	809
ANO6	5259	6987	8092	8942	7916	9444
ANO7	33	52	47	8	18	34
ANO8	169	200	222	322	271	358
ANOS1	6	16	24	0	0	0
ANP32A	7925	10634	11966	5396	4666	5053
ANP32B	7932	9510	10836	4568	3965	4739
ANP32D	0	0	0	0	0	8
ANP32E	1231	1864	1883	796	714	725
ANPEP	17578	22532	23906	42173	36602	38173
ANTKMT	82	136	120	196	156	186
ANTXR1	344	436	524	989	1173	955
ANTXR2	917	1345	1515	2322	2396	2287
ANXA1	8749	12916	13734	20892	16909	21147
ANXA10	0	0	0	2	0	6
ANXA11	3258	4322	4458	4768	4245	4215
ANXA2	101464	127113	142953	159795	128488	150002
ANXA2R	48	64	64	50	40	50
ANXA2R-AS1	24	6	17	2	4	4
