gene_symbol	logFC	p_value	adj_p_value	direction
DOK6	-0.506089375	8.00677446800333e-09	1.76677064216627e-06	down
MX2	0.984394062499999	8.20245513823084e-09	1.76677064216627e-06	up
FIBIN	-1.1613121875	8.38899786479573e-09	1.76677064216627e-06	down
ADRA1B	-0.576474062499999	8.63179925934966e-09	1.76677064216627e-06	down
GPR84	0.635649374999999	8.76201903382401e-09	1.76677064216627e-06	up
MLEC	0.25062125	8.79218493098393e-09	1.76677064216627e-06	up
MYO5A	0.672264375	8.83234661907586e-09	1.76677064216627e-06	up
ARHGAP26	0.402160312499999	8.97164076639565e-09	1.76677064216627e-06	up
GNPTAB	0.4802784375	8.97899728960971e-09	1.76677064216627e-06	up
PATL1	0.322631875	8.98358954493677e-09	1.76677064216627e-06	up
METTL24	-0.998260624999999	9.03433084151263e-09	1.76677064216627e-06	down
SRGAP2	0.3487496875	9.09561087975804e-09	1.76677064216627e-06	up
POLR1E	-0.437918437499999	9.09701691442731e-09	1.76677064216627e-06	down
ANGEL1	0.321890312499999	9.19685115358842e-09	1.76811785864897e-06	up
STK10	0.865458124999999	9.43480909342888e-09	1.78694625097853e-06	up
TAP2	0.401532812499999	9.48256036089066e-09	1.78694625097853e-06	up
XAF1	0.580297499999999	9.75948826833571e-09	1.80368999305528e-06	up
MGARP	-0.54355125	9.81099672554403e-09	1.80368999305528e-06	down
SLC16A7	-0.568136249999999	9.85571162075077e-09	1.80368999305528e-06	down
GPAT3	0.7092165625	1.07884511001631e-08	1.9555865694229e-06	up
SEC23B	0.3448328125	1.10766974156127e-08	1.95766920587013e-06	up
C17orf62	0.3843828125	1.11761884676638e-08	1.95766920587013e-06	up
GRN	0.76443125	1.12146908746684e-08	1.95766920587013e-06	up
ARAP1	0.482194375	1.12792437245638e-08	1.95766920587013e-06	up
CHKA	0.451920624999999	1.14330026275687e-08	1.95766920587013e-06	up
GRK5	-0.650513437499999	1.15327934065881e-08	1.95766920587013e-06	down
SLC12A7	0.448911562499999	1.15352132639556e-08	1.95766920587013e-06	up
ZNF710	0.365685624999999	1.16227930574962e-08	1.95766920587013e-06	up
C14orf132	-0.664799374999999	1.18141385069627e-08	1.97244296669317e-06	down
IDH1	0.600089374999999	1.19679803107582e-08	1.98075277612749e-06	up
LGI1	-1.1564409375	1.22668478546198e-08	1.98539969632559e-06	down
RPS6KA1	0.696543437499999	1.22990107246234e-08	1.98539969632559e-06	up
IL1RN	1.394489375	1.23457615929133e-08	1.98539969632559e-06	up
IL31RA	-1.1754034375	1.26435232728111e-08	1.98539969632559e-06	down
HSPB8	-0.938204687499999	1.26507355343358e-08	1.98539969632559e-06	down
DOCK4	0.632360312499999	1.27162575543605e-08	1.98539969632559e-06	up
MYOCD	-1.62844875	1.27262524537236e-08	1.98539969632559e-06	down
VGLL3	-0.525536875	1.30432470760336e-08	1.99041842657375e-06	down
MADD	0.4153984375	1.30597034793269e-08	1.99041842657375e-06	up
PLCG2	0.348407812499999	1.3147541989772e-08	1.99041842657375e-06	up
PLXND1	0.598695625	1.3283932981877e-08	1.99041842657375e-06	up
PREX1	0.325849999999999	1.33154792165156e-08	1.99041842657375e-06	up
ME2	0.5672096875	1.3385885493692e-08	1.99041842657375e-06	up
SHTN1	0.509673749999999	1.36317283502461e-08	2.01126112938166e-06	up
TSPAN33	0.570845312499999	1.39118185006789e-08	2.03074065190458e-06	up
TYK2	0.321389374999999	1.42314806706009e-08	2.03074065190458e-06	up
ABCC3	0.4998571875	1.42593577345664e-08	2.03074065190458e-06	up
PXDC1	-0.515457499999998	1.43473989233082e-08	2.03074065190458e-06	down
DOK1	0.317833125	1.44568380862608e-08	2.03074065190458e-06	up
KCNA5	-0.882332499999998	1.44850825723252e-08	2.03074065190458e-06	down
CD163	1.1305509375	1.45602680373047e-08	2.03074065190458e-06	up
MDM2	0.2248728125	1.46475723074848e-08	2.03074065190458e-06	up
UBASH3B	0.729700624999999	1.47970434594024e-08	2.03074065190458e-06	up
PSD4	0.575260937499999	1.48307124791014e-08	2.03074065190458e-06	up
SLC3A2	0.438660625	1.50547886687128e-08	2.03944481142344e-06	up
CNPY3	0.3440315625	1.5159364746887e-08	2.03944481142344e-06	up
LIMK1	0.537353125	1.52157391489586e-08	2.03944481142344e-06	up
ANPEP	1.173833125	1.54635167624286e-08	2.05147837451455e-06	up
TBC1D14	0.331343124999999	1.55210889470969e-08	2.05147837451455e-06	up
CTSA	0.421996875	1.57461056500238e-08	2.05385215384799e-06	up
RRAGA	-0.2230434375	1.57850375864112e-08	2.05385215384799e-06	down
PLEKHO2	0.696380624999999	1.58627786799587e-08	2.05385215384799e-06	up
SCRG1	-1.1601696875	1.60633455953276e-08	2.06044381630677e-06	down
PARP14	0.521153124999999	1.61302016828513e-08	2.06044381630677e-06	up
ZFP36L1	0.377631249999999	1.65606231144142e-08	2.10132226491096e-06	up
SLC36A1	0.554670625	1.70327751978692e-08	2.12402266038091e-06	up
FGD2	0.5951784375	1.70374787989914e-08	2.12402266038091e-06	up
FHL5	-1.5646521875	1.70903826871159e-08	2.12402266038091e-06	down
DYSF	0.661589375	1.71859133977124e-08	2.12402266038091e-06	up
ANGPTL1	-1.1332496875	1.75005967306216e-08	2.14896037144465e-06	down
TTYH3	0.7689228125	1.80127262364473e-08	2.19766806704039e-06	up
MXRA7	-0.394551875	1.82917966251112e-08	2.21614236691962e-06	down
WIPF1	0.365280000000001	1.83970206469448e-08	2.21614236691962e-06	up
NOD2	0.5405815625	1.92253977891266e-08	2.29048023629866e-06	up
TCN2	0.762831562499998	1.93748217845775e-08	2.29048023629866e-06	up
GPRC5A	-0.687954374999999	1.93751546284918e-08	2.29048023629866e-06	down
GJC1	-0.61268375	1.96280247189298e-08	2.29590527486178e-06	down
IGF2R	0.4283178125	1.98288468968585e-08	2.29590527486178e-06	up
GNA15	0.673586249999999	1.9897621653681e-08	2.29590527486178e-06	up
MPP1	0.741983437499998	1.99035554222767e-08	2.29590527486178e-06	up
FZD5	0.333914374999999	2.02668918761102e-08	2.32373345227714e-06	up
MTSS1	0.754280937499999	2.07223884590226e-08	2.36173185353639e-06	up
VAV1	0.720954374999998	2.09207686184951e-08	2.36478927988003e-06	up
SIDT2	0.268706562500001	2.10648071070848e-08	2.36478927988003e-06	up
FERMT3	0.827717812499999	2.11707314499882e-08	2.36478927988003e-06	up
KATNAL1	-0.3761528125	2.13432617126283e-08	2.36478927988003e-06	down
LRRC8C	0.3701846875	2.13704490169372e-08	2.36478927988003e-06	up
CRYAB	-0.740061874999999	2.18279505186541e-08	2.40145307642511e-06	down
PRKCB	0.814729687499999	2.20207769399562e-08	2.40565697478296e-06	up
PYGL	0.485756249999998	2.22397200720004e-08	2.40565697478296e-06	up
MAP3K14	0.36602125	2.23004987482406e-08	2.40565697478296e-06	up
NDST2	0.255389374999999	2.23717377468914e-08	2.40565697478296e-06	up
STXBP2	0.683966875	2.25828388201442e-08	2.41409393819205e-06	up
MARCKS	0.475456249999999	2.27038730066924e-08	2.41409393819205e-06	up
SYNC	-0.836191562499999	2.28695794047078e-08	2.41820391561002e-06	down
SECTM1	0.516766562499999	2.31149523334594e-08	2.42716802635428e-06	up
BLNK	0.5951203125	2.35708302155826e-08	2.42716802635428e-06	up
MARK1	-0.8789840625	2.36146779135388e-08	2.42716802635428e-06	down
RAB9B	-0.6229771875	2.37336893944362e-08	2.42716802635428e-06	down
GPR132	0.482812187499999	2.37931160403732e-08	2.42716802635428e-06	up
EFTUD2	0.410958125	2.37948552416483e-08	2.42716802635428e-06	up
ARHGAP31	0.385730312499999	2.40755346934196e-08	2.42716802635428e-06	up
STK39	-0.384014999999999	2.41443411095952e-08	2.42716802635428e-06	down
INPP5D	0.733254999999999	2.41639721509782e-08	2.42716802635428e-06	up
TRPC4	-0.668315937499999	2.43844092247271e-08	2.42716802635428e-06	down
CHST11	0.435679375	2.45660574783627e-08	2.42716802635428e-06	up
PTPN6	0.809212499999999	2.45941044816809e-08	2.42716802635428e-06	up
CREG1	0.502893125000001	2.4612169867408e-08	2.42716802635428e-06	up
TNFSF15	0.5561775	2.53257775529337e-08	2.48466765033498e-06	up
TRAF3	0.41428	2.57005764078608e-08	2.50850805523495e-06	up
VAV3	1.0267259375	2.68758677859623e-08	2.59801894604028e-06	up
DTX3L	0.510640312499999	2.70691596128471e-08	2.59801894604028e-06	up
CCM2	0.276588124999999	2.71997951693175e-08	2.59801894604028e-06	up
NPC1	0.5261975	2.75207030295077e-08	2.59801894604028e-06	up
H2AFY	0.557868437499999	2.7557929147926e-08	2.59801894604028e-06	up
SEPN1	0.391467499999999	2.75652915559761e-08	2.59801894604028e-06	up
NEU1	0.4644153125	2.75731533179287e-08	2.59801894604028e-06	up
PLD3	0.609971249999999	2.85260688842874e-08	2.67456487228887e-06	up
TXK	0.599627812500001	2.8898771892819e-08	2.67675891122692e-06	up
ARHGEF3	0.6392371875	2.89468756935024e-08	2.67675891122692e-06	up
CHD7	0.5654715625	2.89713831614956e-08	2.67675891122692e-06	up
NRP2	0.551036562500001	2.91922971551672e-08	2.68414005678405e-06	up
ACTN2	-0.868724375	2.97233973152225e-08	2.7006349396383e-06	down
SEMA4D	0.3221790625	2.9935398165223e-08	2.7006349396383e-06	up
EPSTI1	0.858116562499998	2.99450525175868e-08	2.7006349396383e-06	up
CCL21	0.62718	2.99528628581224e-08	2.7006349396383e-06	up
FANCD2	0.3760175	3.02008375916075e-08	2.7006349396383e-06	up
MAP6	-0.3653121875	3.03033749851386e-08	2.7006349396383e-06	down
RAPGEF1	0.43715625	3.05243982985976e-08	2.7006349396383e-06	up
NECAP2	0.355379687499999	3.05893424539185e-08	2.7006349396383e-06	up
RBM47	0.815585937499999	3.06487231104856e-08	2.7006349396383e-06	up
CSF1R	0.857426562499999	3.09299602932527e-08	2.70094850406105e-06	up
CKMT2	-0.7400925	3.1004432046851e-08	2.70094850406105e-06	down
NT5DC3	-0.898945312499999	3.10780077964257e-08	2.70094850406105e-06	down
GRK3	0.753487499999999	3.13166070744372e-08	2.70617569489043e-06	up
TTYH2	0.3425125	3.14225202842844e-08	2.70617569489043e-06	up
PERP	-0.4850678125	3.1671648496074e-08	2.70671823246208e-06	down
CSK	0.458162187499999	3.19872013386127e-08	2.70671823246208e-06	up
FAM78A	0.5723475	3.20680331197652e-08	2.70671823246208e-06	up
PLCB2	0.669637499999999	3.22464243980278e-08	2.70671823246208e-06	up
TMEM2	0.708345937499999	3.22524521435577e-08	2.70671823246208e-06	up
FCGRT	0.6544065625	3.22820910402402e-08	2.70671823246208e-06	up
WEE1	-0.541750624999999	3.24598070402975e-08	2.7070809616115e-06	down
SPAG16	-0.411863125	3.26228758519456e-08	2.7070809616115e-06	down
PAPSS2	0.4589675	3.28166751986991e-08	2.7070809616115e-06	up
OSBPL3	0.8066690625	3.28553408360351e-08	2.7070809616115e-06	up
NLN	0.432214687499999	3.3184801634534e-08	2.71442383606556e-06	up
FAM53B	0.3332028125	3.32296933643291e-08	2.71442383606556e-06	up
ADPGK	0.489260312499999	3.36088950307602e-08	2.73366709025837e-06	up
SEC14L1	0.4259153125	3.38827553730758e-08	2.74421482134362e-06	up
LAP3	0.5002390625	3.41899294534388e-08	2.74629251878328e-06	up
CNDP2	0.682681249999999	3.41969908554425e-08	2.74629251878328e-06	up
PLEK	1.1047365625	3.51247592033495e-08	2.79878775166338e-06	up
BAZ1A	0.4963265625	3.5144762919537e-08	2.79878775166338e-06	up
NCEH1	0.755858749999999	3.53363534296629e-08	2.80232006177823e-06	up
CD163L1	0.861162812499999	3.59014840634303e-08	2.83532342812975e-06	up
CMTM7	0.662643437499999	3.60632126696347e-08	2.83632697000478e-06	up
PIK3AP1	0.9576996875	3.67290554807149e-08	2.87001437685383e-06	up
MYO1F	0.757756562499998	3.67996408608029e-08	2.87001437685383e-06	up
TMEM30B	-0.664025625000001	3.69439143765665e-08	2.87001437685383e-06	down
RALGAPA2	0.322770312499999	3.71443537409242e-08	2.87385562906915e-06	up
NCSTN	0.331559687500001	3.73290369480991e-08	2.87645166086303e-06	up
RREB1	0.30916125	3.75044160784137e-08	2.87831270653407e-06	up
CSF2RB	0.593197499999999	3.78722806295672e-08	2.89487195671707e-06	up
DENND4B	0.378539375	3.82787591070355e-08	2.91423848833682e-06	up
COLGALT1	0.4601178125	3.85325224944647e-08	2.91749681532675e-06	up
ACKR4	-0.657658437499999	3.86843472633586e-08	2.91749681532675e-06	down
CALML4	0.48740875	3.88581488033202e-08	2.91749681532675e-06	up
SLCO2A1	0.8592175	3.89347024164868e-08	2.91749681532675e-06	up
SEL1L3	1.0433484375	3.92965000393793e-08	2.92993755710493e-06	up
CHFR	0.272398749999999	3.96117433748891e-08	2.92993755710493e-06	up
LYN	0.801326874999999	3.96664354737376e-08	2.92993755710493e-06	up
SMTN	-0.8505221875	3.97164866144628e-08	2.92993755710493e-06	down
LHFPL2	0.725490312499999	4.02092496816141e-08	2.95002883954931e-06	up
NOX4	-0.8820390625	4.02988230065056e-08	2.95002883954931e-06	down
CD33	0.646165937499999	4.084812738219e-08	2.97878317419625e-06	up
PAK1	0.3872590625	4.10736639532659e-08	2.98016127346494e-06	up
HSPB7	-0.947470937499999	4.13303042406847e-08	2.98016127346494e-06	down
PDZRN3	-1.0718178125	4.13367612144562e-08	2.98016127346494e-06	down
PTPRE	0.674964687499999	4.1526920965913e-08	2.98215276992999e-06	up
